Area code,Area name,All persons,Females,Males
E09000007,Camden,210100,110600,99500
E09000001,City of London,8600,3800,4800
E09000012,Hackney,259200,135300,123900
E09000013,Hammersmith and Fulham,183200,97200,85900
E09000014,Haringey,264200,137000,127200
E09000019,Islington,216600,113300,103300
E09000020,Kensington and Chelsea,143400,76400,67000
E09000022,Lambeth,317600,163700,153900
E09000023,Lewisham,300600,157800,142700
E09000025,Newham,351100,175600,175500
E09000028,Southwark,307700,158600,149000
E09000030,Tower Hamlets,310300,154500,155800
E09000032,Wandsworth,327500,172300,155200
E09000033,Westminster,204300,105300,99000
E09000002,Barking and Dagenham,218900,112400,106500
E09000003,Barnet,389300,200900,188400
E09000004,Bexley,246500,128000,118500
E09000005,Brent,339800,173100,166800
E09000006,Bromley,330000,171700,158200
E09000008,Croydon,390800,203000,187800
E09000009,Ealing,367100,186300,180800
E09000010,Enfield,330000,172500,157500
E09000011,Greenwich,289100,148500,140500
E09000015,Harrow,261300,132500,128800
E09000016,Havering,262000,135600,126400
E09000017,Hillingdon,305900,154800,151100
E09000018,Hounslow,288200,145000,143100
E09000021,Kingston upon Thames,168000,87000,81000
E09000024,Merton,215200,110500,104700
E09000026,Redbridge,310300,156900,153300
E09000027,Richmond upon Thames,195200,101300,93900
E09000029,Sutton,209600,108100,101400
E09000031,Waltham Forest,278400,141900,136600
