Name,Jun-21,Jun-22
Kensington and Chelsea,1213616.63,1362055.48
City of Westminster,858524.19,944440.75
City of London,773731.64,830376.17
Camden,814597.11,829856.91
Hammersmith and Fulham,736566.36,772446.89
Richmond upon Thames,694011.91,768604.86
Islington,658209.86,717486.6
Wandsworth,589862.66,638840.62
Hackney,580537.99,628689.94
Barnet,547181.09,599286.62
Haringey,561878.77,577614.02
Merton,538534.87,573675.85
Lambeth,534190.72,544772.06
Southwark,510955.83,542971.06
Kingston upon Thames,511720.01,541275.18
Ealing,499173.33,537694.8
Brent,514874.04,528087.42
Harrow,486389.57,523508.93
Bromley,467758.12,508544.88
Waltham Forest,473999.01,501172.3
Tower Hamlets,457109.46,484026.09
Redbridge,452252.79,473162.51
Hillingdon,426915.84,465352.27
Lewisham,431607.82,455005.2
Enfield,419335.57,453552.14
Hounslow,426003.96,441269.38
Greenwich,409034.48,440375.34
Sutton,396811.61,437192.37
Havering,387274.96,428988.56
Croydon,395208.18,416641.1
Newham,387428.97,414585.93
Bexley,362242.01,395012.08
Barking and Dagenham,314018.87,342083.45
